0,0,0
1,0.24,0.35
2,0.27,0.38
3,0.27,0.33
4,0.28,0.31
5,0.3,0.33
6,0.28,0.4
7,0.29,0.39
8,0.27,0.36
9,0.28,0.37
10,0.28,0.38
11,0.27,0.35
12,0.27,0.36
13,0.39,0.32
14,0.28,0.38
15,0.27,0.15
16,0.29,0.4
17,0.24,0.19
18,0.28,0.41
19,0.17,0.27
20,0.27,0.25
21,0.28,0.38
22,0.27,0.39
23,0.3,0.15
24,0.29,0.39
25,0.29,0.11
26,0.3,0.16
27,0.29,0.41
28,0.24,0.4
29,0.31,0.09
30,0.24,0.39
31,0.29,0.13
32,0.24,0.36
33,0.27,0.14
34,0.25,0.38
35,0.28,0.12
36,0.27,0.4
37,0.31,0.1
38,0.28,0.39
39,0.31,0.11
40,0.28,0.13
41,0.15,0.37
42,0.16,0.35
43,0.28,0.08
44,0.16,0.37
45,0.25,0.05
46,0.16,0.36
47,0.29,0.05
48,0.15,0.35
49,0.15,0.35
50,0.15,0.35
51,0.16,0.33
52,0.16,0.34
53,0.14,0.34
54,0.13,0.37
55,0.17,0.38
56,0.15,0.4
57,0.17,0.41
58,0.19,0.41
59,0.17,0.37
60,0.19,0.36
61,0.2,0.42
62,0.19,0.39
63,0.19,0.45
64,0.17,0.34
65,0.17,0.42
66,0.12,0.44
67,0.15,0.44
68,0.18,0.43
69,0.16,0.47
70,0.18,0.41
71,0.2,0.48
72,0.19,0.47
73,0.29,0.09
74,0.21,0.51
75,0.27,0.09
76,0.22,0.5
77,0.2,0.48
78,0.19,0.53
79,0.33,0.11
80,0.2,0.5
81,0.2,0.55
82,0.18,0.55
83,0.19,0.47
84,0.21,0.55
85,0.22,0.58
86,0.21,0.59
87,0.21,0.58
88,0.27,0.1
89,0.21,0.59
90,0.18,0.43
91,0.19,0.49
92,0.29,0.07
93,0.15,0.35
94,0.24,0.12
95,0.17,0.28
96,0.26,0.08
97,0.19,0.34
98,0.15,0.47
99,0.17,0.45
100,0.18,0.44
101,0.19,0.44
102,0.18,0.47
103,0.19,0.46
104,0.32,0.13
105,0.16,0.46
106,0.32,0.11
107,0.18,0.45
108,0.3,0.17
109,0.18,0.46
110,0.3,0.14
111,0.17,0.44
112,0.29,0.15
113,0.16,0.47
114,0.18,0.45
115,0.17,0.44
116,0.17,0.46
117,0.16,0.43
118,0.36,0.2
119,0.18,0.45
120,0.34,0.31
121,0.18,0.41
122,0.38,0.18
123,0.19,0.43
124,0.33,0.21
125,0.15,0.36
126,0.16,0.36
127,0.31,0.13
128,0.21,0.38
129,0.17,0.41
130,0.19,0.35
131,0.18,0.37
